,R570,R571,R572
R014,-0.17563553887230096,-0.17563553887230096,-0.17563553887230096
R017,-0.045084186752464825,-0.045084186752464825,-0.045084186752464825
R018,-0.04173440351427531,-0.04173440351427531,-0.04173440351427531
R022,-0.19898507404201707,-0.19898507404201707,-0.19898507404201707
R024,-0.02806241824547841,-0.02806241824547841,-0.02806241824547841
R049,-0.036571711333337954,-0.036571711333337954,-0.036571711333337954
R051,-0.11092263317514789,-0.11092263317514789,-0.11092263317514789
R054,-0.02908023514054028,-0.02908023514054028,-0.02908023514054028
R079,-0.046960286058607394,-0.046960286058607394,-0.046960286058607394
R080,0.06444838112028681,0.06444838112028681,0.06444838112028681
R108,0.034904652850121766,0.034904652850121766,0.034904652850121766
R113,-0.023641841881960182,-0.023641841881960182,-0.023641841881960182
R116,-0.06228944157888721,-0.06228944157888721,-0.06228944157888721
R166,-0.029979305069720175,-0.029979305069720175,-0.029979305069720175
R171,0.0255664429839248,0.0255664429839248,0.0255664429839248
R176,-0.03487284870811818,-0.03487284870811818,-0.03487284870811818
R178,-0.12538614091282338,-0.12538614091282338,-0.12538614091282338
R179,-0.2895070007166188,-0.2895070007166188,-0.2895070007166188
R188,-0.04481873431515662,-0.04481873431515662,-0.04481873431515662
R189,-0.019231602343859823,-0.019231602343859823,-0.019231602343859823
R202,-0.023359898834072437,-0.023359898834072437,-0.023359898834072437
R227,0.02324481730034902,0.02324481730034902,0.02324481730034902
R232,-0.05541962421383717,-0.05541962421383717,-0.05541962421383717
R236,0.030317349167131195,0.030317349167131195,0.030317349167131195
R257,-0.029886622547158292,-0.029886622547158292,-0.029886622547158292
R290,0.02577728584985794,0.02577728584985794,0.02577728584985794
R300,-0.03791234697947015,-0.03791234697947015,-0.03791234697947015
R304,-0.02322911652138525,-0.02322911652138525,-0.02322911652138525
R319,0.06003559571717255,0.06003559571717255,0.06003559571717255
R322,-0.027148111467555632,-0.027148111467555632,-0.027148111467555632
R463,-0.028334917821183567,-0.028334917821183567,-0.028334917821183567
R542,0.021854518115775393,0.021854518115775393,0.021854518115775393
R543,0.052470055556794196,0.052470055556794196,0.052470055556794196
R544,0.022347081649820986,0.022347081649820986,0.022347081649820986
R545,0.01951625229039187,0.01951625229039187,0.01951625229039187
R549,0.041946074553164764,0.041946074553164764,0.041946074553164764
R570,0.0,0.0,0.0
R571,0.0,0.0,0.0
R572,0.0,0.0,0.0
